OrderNumber;Date;CustomerId
100001;2007-01-01;17000
100002;2007-01-03;15000
100003;2007-01-03;22000
100004;2007-01-03;22000
100005;2007-01-04;17000
100006;2007-01-05;14000
100007;2007-01-06;15000
100008;2007-01-08;23000
100009;2007-01-08;23000
100010;2007-01-09;23000
100011;2007-01-10;16000
100012;2007-01-12;14000
100013;2007-01-12;14000
100014;2007-01-12;23000
100015;2007-01-13;17000
100016;2007-01-14;22000
100017;2007-01-15;16000
100018;2007-01-16;19000
100019;2007-01-16;21000
100020;2007-01-16;23000
100021;2007-01-17;15000
100022;2007-01-17;19000
100023;2007-01-18;19000
100024;2007-01-19;23000
100025;2007-01-21;22000
100026;2007-01-22;20000
100027;2007-01-22;23000
100028;2007-01-23;15000
100029;2007-01-26;16000
100030;2007-01-26;20000
100031;2007-01-27;16000
100032;2007-01-27;17000
100033;2007-01-29;15000
100034;2007-02-02;13000
100035;2007-02-02;19000
100036;2007-02-03;15000
100037;2007-02-04;19000
100038;2007-02-04;24000
100039;2007-02-05;14000
100040;2007-02-05;17000
100041;2007-02-07;16000
100042;2007-02-07;22000
100043;2007-02-07;23000
100044;2007-02-08;15000
100045;2007-02-08;16000
100046;2007-02-08;18000
100047;2007-02-08;20000
100048;2007-02-08;22000
100049;2007-02-08;24000
100050;2007-02-09;16000
100051;2007-02-09;20000
100052;2007-02-09;22000
100053;2007-02-09;23000
100054;2007-02-10;21000
100055;2007-02-10;23000
100056;2007-02-11;15000
100057;2007-02-11;15000
100058;2007-02-12;14000
100059;2007-02-12;17000
100060;2007-02-12;22000
100061;2007-02-12;24000
100062;2007-02-13;18000
100063;2007-02-13;20000
100064;2007-02-13;22000
100065;2007-02-14;17000
100066;2007-02-14;19000
100067;2007-02-14;21000
100068;2007-02-14;23000
100069;2007-02-15;15000
100070;2007-02-15;17000
100071;2007-02-16;13000
100072;2007-02-16;15000
100073;2007-02-16;17000
100074;2007-02-16;19000
100075;2007-02-17;19000
100076;2007-02-18;14000
100077;2007-02-19;20000
100078;2007-02-19;21000
100079;2007-02-20;14000
100080;2007-02-20;16000
100081;2007-02-20;18000
100082;2007-02-20;19000
100083;2007-02-20;22000
100084;2007-02-21;13000
100085;2007-02-21;16000
100086;2007-02-22;14000
100087;2007-02-22;16000
100088;2007-02-22;16000
100089;2007-02-23;18000
100090;2007-02-23;22000
100091;2007-02-24;14000
100092;2007-02-24;15000
100093;2007-02-24;16000
100094;2007-02-25;15000
100095;2007-02-26;15000
100096;2007-02-26;16000
100097;2007-02-26;22000
100098;2007-02-27;13000
100099;2007-02-27;13000
100100;2007-02-28;15000
100101;2007-02-28;16000
100102;2007-02-28;24000
100103;2007-03-01;13000
100104;2007-03-01;15000
100105;2007-03-01;18000
100106;2007-03-02;16000
100107;2007-03-02;19000
100108;2007-03-02;20000
100109;2007-03-03;16000
100110;2007-03-03;21000
100111;2007-03-04;15000
100112;2007-03-05;13000
100113;2007-03-05;15000
100114;2007-03-06;14000
100115;2007-03-06;15000
100116;2007-03-06;15000
100117;2007-03-06;20000
100118;2007-03-06;23000
100119;2007-03-06;23000
100120;2007-03-07;13000
100121;2007-03-07;14000
100122;2007-03-07;24000
100123;2007-03-08;23000
100124;2007-03-09;15000
100125;2007-03-09;16000
100126;2007-03-10;15000
100127;2007-03-12;15000
100128;2007-03-12;17000
100129;2007-03-12;19000
100130;2007-03-12;22000
100131;2007-03-12;24000
100132;2007-03-13;15000
100133;2007-03-14;18000
100134;2007-03-14;20000
100135;2007-03-15;20000
100136;2007-03-15;23000
100137;2007-03-16;17000
100138;2007-03-16;23000
100139;2007-03-17;14000
100140;2007-03-17;16000
100141;2007-03-17;22000
100142;2007-03-18;23000
100143;2007-03-18;24000
100144;2007-03-19;21000
100145;2007-03-20;22000
100146;2007-03-21;14000
100147;2007-03-21;22000
100148;2007-03-22;14000
100149;2007-03-23;16000
100150;2007-03-23;22000
100151;2007-03-23;22000
100152;2007-03-23;22000
100153;2007-03-24;14000
100154;2007-03-24;16000
100155;2007-03-24;23000
100156;2007-03-25;16000
100157;2007-03-26;13000
100158;2007-03-26;16000
100159;2007-03-26;16000
100160;2007-03-26;24000
100161;2007-03-28;15000
100162;2007-03-28;15000
100163;2007-03-28;20000
100164;2007-03-29;13000
100165;2007-03-30;18000
100166;2007-03-30;22000
100167;2007-03-31;16000
100168;2007-03-31;17000
100169;2007-04-01;15000
100170;2007-04-01;16000
