SALESORDERID,SALESORDERITEM,PRODUCTID,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,QUANTITY,QUANTITYUNIT,DELIVERYDATE
500000000,10,MB-1034,USD,2499,2186.625,312.375,4,EA,20180311
500000000,20,CB-1161,USD,399,349.125,49.875,9,EA,20180311
500000001,10,HB-1175,USD,899,786.625,112.375,2,EA,20180228
500000001,20,RC-1056,USD,2499,2186.625,312.375,2,EA,20180228
500000001,30,CC-1021,USD,1144,1001.0,143.0,3,EA,20180228
500000001,40,CB-1161,USD,399,349.125,49.875,6,EA,20180228
500000002,10,HB-1175,USD,899,786.625,112.375,6,EA,20180309
500000002,20,RC-1055,USD,1999,1749.125,249.875,3,EA,20180309
500000002,30,DB-1081,USD,1499,1311.625,187.375,3,EA,20180309
500000002,40,EB-1133,USD,2250,1968.75,281.25,10,EA,20180309
500000002,50,BX-1015,USD,299,261.625,37.375,9,EA,20180309
500000002,60,CC-1021,USD,1144,1001.0,143.0,4,EA,20180309
500000003,10,RC-1056,USD,2499,2186.625,312.375,3,EA,20180223
500000003,20,BX-1013,USD,449,392.875,56.125,2,EA,20180223
500000003,30,RC-1056,USD,2499,2186.625,312.375,5,EA,20180223
500000003,40,CB-1161,USD,399,349.125,49.875,1,EA,20180223
500000003,50,EB-1131,USD,1500,1312.5,187.5,10,EA,20180223
500000003,60,MB-1034,USD,2499,2186.625,312.375,3,EA,20180223
500000003,70,DB-1082,USD,1250,1093.75,156.25,8,EA,20180223
500000003,80,EB-1134,USD,4800,4200.0,600.0,10,EA,20180223
500000004,10,BX-1014,USD,799,699.125,99.875,3,EA,20180305
500000004,20,EB-1134,USD,4800,4200.0,600.0,2,EA,20180305
500000004,30,CB-1163,USD,288,252.0,36.0,8,EA,20180305
500000004,40,BX-1013,USD,449,392.875,56.125,6,EA,20180305
500000004,50,MB-1034,USD,2499,2186.625,312.375,10,EA,20180305
500000004,60,MB-1031,USD,649,567.875,81.125,2,EA,20180305
500000004,70,RC-1051,USD,2499,2186.625,312.375,10,EA,20180305
500000004,80,HB-1174,USD,379,331.625,47.375,9,EA,20180305
500000005,10,RC-1054,USD,5499,4811.625,687.375,10,EA,20180301
500000005,20,CC-1021,USD,1144,1001.0,143.0,3,EA,20180301
500000005,30,RC-1052,USD,3999,3499.125,499.875,9,EA,20180301
500000005,40,BX-1011,USD,249,217.875,31.125,10,EA,20180301
500000005,50,HB-1175,USD,899,786.625,112.375,2,EA,20180301
500000005,60,RO-1002,USD,689,602.875,86.125,8,EA,20180301
500000006,10,EB-1137,USD,7900,6912.5,987.5,5,EA,20180314
500000006,20,CB-1163,USD,288,252.0,36.0,8,EA,20180314
500000006,30,EB-1134,USD,4800,4200.0,600.0,7,EA,20180314
500000006,40,HB-1176,USD,1199,1049.125,149.875,3,EA,20180314
500000006,50,RC-1052,USD,3999,3499.125,499.875,6,EA,20180314
500000006,60,EB-1135,USD,3000,2625.0,375.0,9,EA,20180314
500000006,70,RC-1054,USD,5499,4811.625,687.375,8,EA,20180314
500000007,10,HB-1171,USD,699,611.625,87.375,2,EA,20180308
500000008,10,EB-1137,USD,7900,6912.5,987.5,10,EA,20180225
500000008,20,CC-1022,USD,1200,1050.0,150.0,6,EA,20180225
500000008,30,CC-1023,USD,1361,1190.875,170.125,10,EA,20180225
500000008,40,RC-1052,USD,3999,3499.125,499.875,7,EA,20180225
500000009,10,BX-1014,USD,799,699.125,99.875,9,EA,20180309
500000009,20,EB-1131,USD,1500,1312.5,187.5,3,EA,20180309
500000009,30,EB-1135,USD,3000,2625.0,375.0,7,EA,20180309
500000009,40,CC-1021,USD,1144,1001.0,143.0,1,EA,20180309
500000009,50,EB-1135,USD,3000,2625.0,375.0,6,EA,20180309
500000009,60,BX-1013,USD,449,392.875,56.125,10,EA,20180309
500000009,70,DB-1081,USD,1499,1311.625,187.375,10,EA,20180309
500000009,80,CB-1161,USD,399,349.125,49.875,8,EA,20180309
500000009,90,HB-1171,USD,699,611.625,87.375,4,EA,20180309
500000009,100,HB-1175,USD,899,786.625,112.375,2,EA,20180309
500000010,10,RO-1002,USD,689,602.875,86.125,10,EA,20180323
500000010,20,CC-1021,USD,1144,1001.0,143.0,3,EA,20180323
500000011,10,MB-1032,USD,1299,1136.625,162.375,8,EA,20180322
500000011,20,RO-1001,USD,525,459.375,65.625,3,EA,20180322
500000011,30,MB-1031,USD,649,567.875,81.125,5,EA,20180322
500000011,40,BX-1016,USD,319,279.125,39.875,1,EA,20180322
500000011,50,EB-1132,USD,1900,1662.5,237.5,1,EA,20180322
500000011,60,EB-1135,USD,3000,2625.0,375.0,9,EA,20180322
500000011,70,RC-1054,USD,5499,4811.625,687.375,10,EA,20180322
500000012,10,HB-1176,USD,1199,1049.125,149.875,9,EA,20180317
500000012,20,CB-1161,USD,399,349.125,49.875,2,EA,20180317
500000012,30,BX-1013,USD,449,392.875,56.125,9,EA,20180317
500000013,10,RO-1001,USD,525,459.375,65.625,3,EA,20180321
500000013,20,BX-1015,USD,299,261.625,37.375,7,EA,20180321
500000013,30,RC-1055,USD,1999,1749.125,249.875,8,EA,20180321
